Size,MeanTimeInSystem
0,260.4998733941872
1,275.916176195177
2,227.7040341174377
3,201.2615399160381
4,238.55754279065025
5,255.03768538922213
6,224.1934292612025
7,254.61168148326448
8,233.81058808296382
9,254.0403789111908
10,248.00351128708135
11,264.50524406332113
12,214.38773654870516
13,225.43885203506457
14,275.7404346407669
15,239.3110645422237
16,262.05403921119694
17,220.4229907392241
18,238.14132953711507
19,229.34342512790778
20,257.89251380397485
21,250.79988690974898
22,246.81611274156722
23,281.85513748579126
24,261.28659803921727
25,246.95556433575402
26,257.7873940778028
27,230.14616462962562
28,244.5821909522559
29,256.09714356596714
30,239.99096245632174
31,227.29355381232293
32,216.90783511500828
33,236.18603543652034
34,247.66521860512316
35,238.57120119678987
36,226.08236211258577
37,228.2683054054067
38,240.60252775070538
39,240.38755629262008
40,245.12527510215844
41,230.68103953931183
42,242.7807322695504
43,250.6773441702444
44,268.9920624225657
45,241.31232906267985
46,270.8675714727644
47,238.10744864457752
48,236.75898867816
49,233.11382452596698
50,232.73154767845114
